Nome,Luogo,Like,Descrizione,Data,Ora,Followers,NumImmagini,Numero di Parole,Numero di Emoticon,Numero di Menzioni,Numero di Hashtag,Associazione a luogo,Occorrenze del Luogo
unlimitedtahiti,None,1191,Let the magic happen in Moorea ❤  Great picture by @kelsealoha ❤ . Founders: jerry_and_lucy 👋 DM for promotions / collaborations or send an email at unlimitedvisibility@gmail.com 👍 . Follow unlimitedtahiti for more great content about Tahiti ❤ Dear followers please add #unlimitedtahiti to your best pictures of #tahiti to have a chance to be featured 👍 . #polynesia #frenchpolynesia #polynesie #tahitianvibes #tahitilife #tahitibeach #tahititourisme #paradise #paradiseisland #turquoise #paradisebeach #oceania #pacific #pacificislands #paradiseisland #ig_oceania #pacificocean #loves_oceania #paradiselost #paradiselove #beachlife #beachlove #🇨🇭 #polinesiafrancesa #moorea #mooreaisland,2024-11-10,11:15,173769,1,84,6,1,27,False,0
youronlinevacation,None,1651,The most scenic flight in the world 🌎✈️ 𝐅𝐨𝐥𝐥𝐨𝐰 𝐟𝐨𝐫 𝐦𝐨𝐫𝐞 𝐭𝐫𝐚𝐯𝐞𝐥 𝐜𝐨𝐧𝐭𝐞𝐧𝐭 @youronlinevacation 👩‍💻 • • • • • 𝐂𝐫𝐞𝐝𝐢𝐭𝐬 @adrianserwin • • • • (#) #travel #vacation #travelgram #wanderlust #travelphotography #travelblogger #instatravel #travelling #holiday #explore #traveling #adventure #traveladdict #traveltheworld #tourism #instavacation #trip #getaway #exploremore #tourist #traveller #passportready #vacationmode #beautifuldestinations #globetrotter #travelawesome,2024-12-04,21:57,38993,1,53,4,2,26,False,0
asiaandbeyond,Krabi,2145,"Have You Ever Visited Krabi Province, Thailand? 🌿 After Living In Thailand For 15 Years, I’ve Been Lucky Enough To Explore Many Of The Countries Stunning Landscapes. Krabi Has Always Been A Favourite For So Many Reasons… Here’s Some Of My Shots From One Of Thailand’s Most Beautiful Areas. 🇹🇭 • #krabi #krabithailand #krabibeach #krabitrip #krabitown #aonang #aonangbeach #thailand #thailandtravel #ultimatethailand #thailandonly #southeastasia #asiaandbeyond #explorethailand #backpacker #luxurytravels #experiencetravel",2024-11-18,09:24,831783,13,68,1,0,17,True,15
kirvanb,Mentawai Islands,9794,My Mentawai season is a wrap. Grateful for the people I met along the way. Special thanks to @htsresort @siloinasurfcharter @saltedmemoirs @vncetc @liamthereturner @em4shaw @mentawaisurfco,2024-11-22,12:50,65727,1,25,0,7,0,False,2
luxuryprojeto,Malasia,850,Welcome to malasia,2024-12-18,08:49,7.098,7,3,0,0,0,True,2
dominicanrepublic,None,247,This is your sign to visit Dominican Republic🤩🇩🇴  Share with us your favorite place in Dominican Republic!👇  Credits to: @conociendo_dr 📍Dominican Republic,2024-12-16,21:46,69492,1,22,3,1,0,False,0
hawaiivolcanic,"North Shore, Haleiwa, Hawaii",341,Happy Aloha Friday from Waimea Bay on the North Shore of Oahu🏝️🪨💦#HawaiiVolcanic 📸@ryzone,2024-12-14,01:43,35102,1,13,4,0,1,False,2
hawaiivolcanic,"North Shore, Haleiwa, Hawaii",341,Happy Aloha Friday from Waimea Bay on the North Shore of Oahu🏝️🪨💦#HawaiiVolcanic 📸@ryzone,2024-12-14,01:43,35102,1,13,4,0,1,False,2
sequoiaparksconservancy,None,536,"Sequoia and Kings National Parks where every trail leads to a new discovery. 🌲🥾⁠ ⁠ Join us tomorrow, December 14, 2024, for the Christmas Bird Count and uncover a new experience in these majestic parks. After the count, meet us at @kaweahcoffeeroasters to debrief and connect with fellow bird enthusiasts! 🐦☕⁠ ⁠ See you there!",2024-12-13,22:17,33779,1,55,4,1,0,False,0
backpackerdestinationn,Grand Teton National Park,333,The Tetons are a Winter Wonderland. AGREE? . Follow @backpackerdestinationn Follow @backpackerdestinationn . 📸 @rob.phillips.photography . . . . . . #backpackerdestinationn #grandtetonnationalpark #grandteton #explorewyoming #nationalpark #nationalparkservice #nationalparkphotography #nationalparks #radparks #findyourpark #nationalparkgeek #nps #everykidinapark #nationalparklife #nationalparksusa #nationalparklover #nationalparklove #nationalparkobsessed #usnationalparks #usparksandmonuments #weareparks #parklife #parks #protectourpubliclands #publiclandowner #goparks #nationalparkweek #national_park_photography #publiclands #keepitwild,2024-12-19,13:25,31652,4,51,1,3,30,False,16
